item,context,effect_type,effect,generation_start,generation_end,notes
tr68,field,move-teaching,Teaches the move Nasty Plot to a compatible Pokémon once.,8,,
tr69,field,move-teaching,Teaches Zen Headbutt,8,,Consumed upon use
tr70,field,move-teaching,Teaches the move Flash Cannon once,8,,
tr71,field,move-teaching,Teaches the move Leaf Storm to a compatible Pokémon once.,8,,
tr72,field,move-teaching,Teaches the move Power Whip once to a compatible Pokémon.,8,,
tr73,field,move-teaching,Teaches the move Gunk Shot,8,,Single-use
tr75,field,move-teaching,Teaches Stone Edge to a compatible Pokémon once,8,,
tr76,field,move-teaching,Teaches Stealth Rock,8,,
tr77,field,move-teaching,Teaches the move Grass Knot,8,,Single-use
tr79,passive,move-teaching,Teaches Heavy Slam to a compatible Pokémon once.,8,,
tr81,field,move-teaching,Teaches Foul Play to a compatible Pokémon once,8,,
tr82,field,move-teaching,Teaches the move Stored Power to a compatible Pokémon once.,8,,
tr85,field,move-teaching,Teaches the move Work Up to a compatible Pokémon once.,8,,
tr88,field,move-teaching,Teaches the move Heat Crash to a compatible Pokémon once.,8,,
tr90,field,move-teaching,Teaches the move Play Rough to a compatible Pokémon once,8,,
tr91,field,move-teaching,Teaches the move Venom Drench to a compatible Pokémon; can be used once.,8,,
tr93,field,move-teaching,Teaches the move Darkest Lariat to a compatible Pokémon,8,,Consumable after use
tr94,field,move-teaching,Teaches the move High Horsepower to a compatible Pokémon once.,8,,
tr95,passive,move-teaching,Teaches Throat Chop once,8,,
tr96,field,move-teaching,Teaches the move Pollen Puff,8,,Consumed after use
tr98,field,move-teaching,Teaches the move Liquidation once,8,,
tr99,field,move-teaching,Teaches Body Press once,8,,
tri-pass,field,travel-unlock,"Allows travel via Seagallop ferries between One, Two, and Three Island; later enables travel from Vermilion City.",3,,
tropic-mail,held,message-storage,Stores a written message using Easy Chat phrases while held by a Pokémon.,3,3,Cannot be stolen by Thief or Covet; can be removed by Knock Off.
tropical-shell,passive,sell-only,No practical effect other than being sold.,7,,
tumblestone,field,crafting,"Required to craft Poké Ball and Great Ball (1), Ultra Ball (2).",8,,
tunnel-mail,held,passive,Allows the holder to carry a written message that can be read when traded or viewed from the Mailbox.,4,4,"Prevents PC storage and Day Care use while held; incompatible with Fling, Trick, Switcheroo, Covet, and Thief."
twice-spiced-radish,battle,stat-boost,Damage dealt by moves is increased by 50% for five turns.,8,,
twisted-spoon,held,type-boost,Boosts Psychic-type move power by 20%,4,,
twisted-spoon,held,type-boost,Boosts Psychic-type move power by 10%,2,3,
tyranitarite,held,evolution-trigger,Enables Mega Evolution into Mega Tyranitar,6,,Requires Key Stone; unaffected by Embargo or Klutz
ultra-ball,battle,catch-rate-modifier,2× catch rate; reduced to ~0.1× on Ultra Beasts,1,,
ultra-ball,held,fling-interaction,Fling fails if the holder has an Ultra Ball,4,,
ultra-ball-hisui,battle,catch-rate,x2.25,8,,
ultranecrozium-z--held,held,evolution-trigger,Allows Necrozma to transform into Ultra Necrozma and upgrades Photon Geyser into Light That Burns the Sky,7,,
unown-report,passive,information,Records the different forms of Unown caught and unlocks research notes as more forms are discovered.,4,,
unremarkable-teacup,field,evolution-trigger,Evolves Counterfeit Form Poltchageist into Unremarkable Form Sinistcha,9,,Item is consumed on use
up-grade,field,evolution-trigger,Use on Porygon to evolve into Porygon2,8,,Legends: Arceus
up-grade,held,evolution-trigger,Evolves Porygon into Porygon2 when traded,2,8,
utility-umbrella,held,weather-negation,Negates the effects of rain and harsh sunlight on the holder.,8,,
uxies-claw,passive,crafting-material,Required to craft the Red Chain,8,,
vee-vee-pick,field,passive,Used to complete a sandwich during a picnic.,9,,
venusaurite,held,evolution-trigger,Allows Venusaur to Mega Evolve into Mega Venusaur,6,,Requires a Key Stone
victreebelite,held,evolution-trigger,Allows Victreebel to Mega Evolve into Mega Victreebel in battle,9,,Requires the Trainer to have a Key Stone; only one Mega Evolution per battle
vinegar,field,ingredient,Used as an ingredient when making sandwiches.,9,,
violet-book,field,story,Used in the Zero Lab to shut down Professor Turo's time machine; a second copy triggers a conversation with Arven.,9,,
virizion-treat,field,story,Allows the player to encounter and battle Virizion at Tagtree Thicket and receive a location hint from Snacksworth.,9,,
vivichoke,passive,crafting-material,"Used to craft Hyper Potion, Superb Remedy, and Revive.",8,,
volcano-balm,battle,status,Calms the frenzied Hisuian Arcanine during the Lord of the Isles battle.,8,,
vs-recorder,field,recording,"Records, replays, uploads, and downloads battle videos and related trainer records.",4,,
vs-seeker,field,trainer-rematch,Marks on-screen Trainers available for rematches after charging by walking 100 steps.,3,,
wacan-berry,held,type-resist,Halves damage from one super effective Electric-type attack; quarter damage if the holder has Ripen.,4,,
wailmer-pail,field,growth-boost,Increases Berry yield when used correctly on planted Berries.,3,,
wall-fragment,field,story,"Returned to Calaba after being recovered from the Miss Fortune sisters, allowing the player to challenge the frenzied Ursaluna.",8,,
warding-charm,passive,status-prevention,Prevents a status condition inflicted by a wild Pokémon attack and is consumed.,8,,
wasabi,field,crafting,Used as an ingredient when making sandwiches.,9,,
water-gem,held,type-boost,Boosts first Water-type move by 50%,5,5,Consumed after use
water-gem,held,type-boost,Boosts first Water-type move by 30%,6,,Consumed after use
water-memory,battle,type-change,Changes Multi-Attack to Water type and Silvally to Water type,7,,
water-memory,field,form-change,Changes Silvally to its Water-type form,7,,
water-stone,field,evolution-trigger,Evolves certain Pokémon when used,1,,
water-tera-shard,field,type-change,Consumes 50 shards to change a Pokémon’s Tera Type to Water.,9,,
watercress,field,crafting,Used as an ingredient in making sandwiches.,9,,
waterium-z--held,held,form-change,Changes Arceus to its Water-type form.,7,,
waterium-z--held,held,type-boost,Upgrades Water-type moves into the Z-Move Hydro Vortex or Water-type Z status moves.,7,,
watmel-berry,passive,ingredient,"Used as an ingredient for Pokéblocks, Poffins, Berry Powder, and similar items.",3,,
wave-incense,battle,type-boost,Boosts Water-type move power by 20%,4,,
wave-incense,field,evolution-trigger,Produces Mantyke Egg instead of Mantine Egg,4,,
wave-mail,held,passive,Allows the holder to carry a custom Easy Chat message that can be traded to other Generation III games.,3,3,Cannot be stolen by Covet or Thief; can be removed by Knock Off.
weakness-policy,held,stat-boost,Raises Attack and Special Attack by two stages each when hit by a super-effective move,6,,
wellspring-mask,held,type-boost,Increases the power of the holder's moves by 20%,9,,
wellspring-mask,held,form-change,Changes Ogerpon to its Wellspring Mask form,9,,
wepear-berry,passive,ingredient,"Used as an ingredient for Pokéblocks, Poffins, and other berry-based items",3,,
whimsical-chairs,passive,decorative,Decorates the player's picnic with whimsical chairs.,9,,
whimsical-tablecloth,field,passive,Decorative only; no gameplay effect.,9,,
whipped-cream,field,crafting,Used as an ingredient when making sandwiches.,9,,
whipped-dream,held,evolution-trigger,Evolves Swirlix into Slurpuff when traded,6,,Item is consumed upon evolution
white-apricorn,field,crafting,Can be made into a Fast Ball by Kurt.,2,,
white-apricorn,field,crafting,Produces a flavorless Aprijuice with no effect when used in the Apriblender.,4,4,
white-dish,passive,decorative,Decorates the player's picnic without providing gameplay benefits.,9,,
white-flute,field,encounter-rate,Increases wild Pokémon encounter rate by 50%,3,4,Effect ends on map transition
white-flute,field,level-modifier,Decreases wild Pokémon level by 1–4,6,6,Omega Ruby and Alpha Sapphire only
white-herb,held,stat-reset,Restores all lowered stats to neutral once,3,,
white-mane-hair,field,crafting,Used with a Radiant Petal to create the Reins of Unity,8,,
wide-lens,held,stat-boost,Boosts accuracy by 10%,4,,"From Generation V onward, implemented as 4505/4096."
wiki-berry,field,healing,Restores HP when used from the Bag; consumed on use.,3,,
wiki-berry,held,healing,Restores HP in a pinch; may cause confusion if the Pokémon dislikes dry flavor.,3,,Restoration amount varies by generation.
lawing-ball,battle,catch-rate-modifier,2× on specific flying encounters; otherwise 1.25×,8,,
winking-pika-pick,field,crafting,Used to complete a sandwich during a picnic,9,,
wise-glasses,held,type-boost,Boosts special move power by 10%,4,,
wishing-piece,field,event-trigger,Activates a Max Raid Battle in an inactive Pokémon Den.,8,,
wishing-star,field,story,"Allows a Dynamax Band to be fitted, enabling Dynamaxing.",8,,
wood,passive,crafting,Used as a material to craft items such as the Pokéshi Doll.,8,,
wood,passive,exchange,Three pieces can be exchanged with Cogita for the Pixie Plate during Mission 26.,8,,
wood-mail,held,passive,Allows a written message to be stored and transferred with the Pokémon holding it.,3,3,Cannot be stolen by Covet or Thief; removable by Knock Off.
wooden-crown,field,story,Placing it on the King of Bountiful Harvests statue summons Calyrex.,8,,
works-key,field,story-progression,Unlocks the door to the Valley Windworks,4,,
x-accuracy,battle,stat-boost,Raises accuracy by 1 stage (Gen III–VI),3,6,
x-accuracy,battle,stat-boost,Raises accuracy by 2 stages,7,,
x-accuracy-2,battle,stat-boost,+2 accuracy stages,5,,
x-accuracy-3,battle,stat-boost,+3 accuracy stages,5,,
x-accuracy-6,battle,stat-boost,+6 accuracy stages,5,,
x-attack,battle,stat-boost,+2 Attack stages,7,,Also slightly increases friendship
x-attack,battle,stat-boost,+1 Attack stage,1,6,Also slightly increases friendship from Generation II onward
x-attack-2,battle,stat-boost,+2 Attack stages,5,,
x-attack-3,battle,stat-boost,+3 Attack stages,5,,
x-attack-6,battle,stat-boost,+6 Attack stages,5,,
x-defend-2,battle,stat-boost,+2 Defense stages,5,,
x-defend-3,battle,stat-boost,+3 Defense stages,5,,
x-defend-6,battle,stat-boost,+6 Defense stages,5,,
x-defense,battle,stat-boost,+2 Defense stages,7,,Also increases friendship.
x-defense,battle,stat-boost,+1 Defense stage,1,6,Also increases friendship from Generation II onward.
x-sp-atk,battle,stat-boost,+2 Special Attack,7,,Also increases friendship slightly
x-sp-atk,battle,stat-boost,+1 Special,1,1,
x-sp-atk,battle,stat-boost,+1 Special Attack,2,6,Also increases friendship slightly
x-sp-atk-2,battle,stat-boost,+2 Special Attack stages,5,,
x-sp-atk-3,battle,stat-boost,+3 Special Attack stages,5,,
x-sp-atk-6,battle,stat-boost,+6 Special Attack stages,5,,
x-sp-def,battle,stat-boost,+2 Special Defense stages,7,,Also increases friendship slightly
x-sp-def,battle,stat-boost,+1 Special Defense stage,4,6,Also increases friendship slightly in Generation VI
x-sp-def-2,battle,stat-boost,+2 Special Defense stages,5,,
x-sp-def-3,battle,stat-boost,+3 Special Defense stages,5,,
x-sp-def-6,battle,stat-boost,+6 Special Defense stages,5,,
x-speed,battle,stat-boost,+2 Speed stages,7,,Also increases friendship
x-speed,battle,stat-boost,+1 Speed stage,1,6,Also increases friendship from Generation II onward
x-speed-2,battle,stat-boost,+2 Speed stages,5,,
x-speed-3,battle,stat-boost,+3 Speed stages,5,,
x-speed-6,battle,stat-boost,+6 Speed stages,5,,
xtransceiver,field,communication,Allows communication with NPCs and other players via audio and video calls.,5,,
yache-berry,held,type-resist,Halves damage from a supereffective Ice-type move (quarters damage if holder has Ripen),4,,
yarn-ball,field,passive,Can be kicked around by the player and their party Pokémon during a picnic.,9,,
yellow-apricorn,field,crafting,Can be made into a Moon Ball by Kurt,2,,
yellow-apricorn,field,stat-boost,Produces Aprijuice that boosts the Stamina Performance stat,4,,Apriblender use
yellow-bell-pepper,field,crafting,Used as an ingredient when making sandwiches.,9,,
yellow-bottle,passive,cosmetic,Decorates the player's picnic with a yellow bottle.,9,,
yellow-chairs,passive,decorative,Decorates the player's picnic with yellow chairs.,9,,
yellow-cup,passive,cosmetic,Decorates the player's picnic with no gameplay effect.,9,,
yellow-dish,passive,decorative,No functional effect; used only for picnic decoration.,9,,
yellow-flute,battle,status-healing,Cures confusion,3,4,
yellow-flute,battle,status-healing,Cures confusion,6,,Applies from Omega Ruby and Alpha Sapphire onward
yellow-flute,passive,none,No usable effect,5,6,Does not apply to Omega Ruby and Alpha Sapphire
yellow-nectar,field,evolution-trigger,Changes Oricorio to Pom-Pom Style,7,,Can only be used outside of battle; consumed on use
yellow-petal,passive,story-progress,"When all seven petals are collected, Mina combines them to make a Rainbow Flower.",7,,
yellow-scarf,held,contest-boost,Raises Toughness by 20 points in Generation III contests,3,3,
yellow-tablecloth,field,cosmetic,Decorates the player's picnic table.,9,,
yogurt,field,crafting,Used as an ingredient when making a sandwich.,9,,
z-power-ring,battle,special-move,Allows the use of Z-Crystals and one Z-Move per battle.,7,,
